ParserWithPrecolation_11-20
=================================================================================================================================================
 ID 	 length 	 state 	 recall 	 prec 	 matched_brackets 	 gold_brackets 	 test_brackets 	 cross_brackets 	 words 	 correct_tags 	 tag_accracy 	
86			19			0			0.39			0.54			7			18			13			5			19			16			0.84			
87			12			0			0.60			0.75			6			10			8			1			12			10			0.83			
88			19			0			0.45			0.75			9			20			12			1			19			13			0.68			
89			17			0			0.37			0.58			7			19			12			4			17			14			0.82			
90			14			0			0.36			0.56			5			14			9			1			14			10			0.71			
91			15			0			0.33			0.50			6			18			12			6			15			9			0.60			
92			14			0			0.38			0.42			5			13			12			3			14			9			0.64			
93			16			0			0.47			0.75			9			19			12			3			16			13			0.81			
94			17			0			0.44			0.78			7			16			9			1			17			15			0.88			
95			15			0			0.25			0.44			4			16			9			4			15			9			0.60			
96			16			0			0.56			0.75			9			16			12			1			16			12			0.75			
97			12			0			0.20			0.27			3			15			11			5			12			6			0.50			
98			18			0			0.44			0.67			8			18			12			2			18			15			0.83			
99			15			0			0.11			0.17			2			18			12			7			15			11			0.73			
100			20			0			0.37			0.54			7			19			13			1			20			14			0.70			
101			20			0			0.48			0.67			10			21			15			3			20			16			0.80			
102			15			0			0.31			0.62			5			16			8			0			15			10			0.67			
103			17			0			0.11			0.18			2			19			11			7			17			12			0.71			
104			11			0			0.42			0.83			5			12			6			0			11			7			0.64			
105			15			0			0.53			0.89			8			15			9			0			15			12			0.80			
106			17			0			0.65			0.85			11			17			13			0			17			13			0.76			
107			11			0			0.50			0.75			6			12			8			2			11			9			0.82			
108			12			0			0.27			0.44			4			15			9			3			12			5			0.42			
109			13			0			0.29			0.36			4			14			11			4			13			8			0.62			
110			13			0			0.33			0.56			5			15			9			1			13			8			0.62			
111			17			0			0.33			0.55			6			18			11			3			17			14			0.82			
112			16			0			0.39			0.50			7			18			14			5			16			11			0.69			
113			15			0			0.40			0.55			6			15			11			3			15			13			0.87			
114			17			0			0.24			0.40			4			17			10			4			17			12			0.71			
115			15			0			0.33			0.55			6			18			11			2			15			12			0.80			
116			15			0			0.26			0.56			5			19			9			1			15			15			1.00			
117			20			0			0.60			0.80			12			20			15			1			20			14			0.70			
118			14			0			0.40			0.60			6			15			10			4			14			10			0.71			
119			14			0			0.27			0.50			4			15			8			3			14			8			0.57			
120			20			0			0.35			0.73			8			23			11			2			20			16			0.80			
121			13			0			0.56			1.00			9			16			9			0			13			5			0.38			
122			12			0			0.25			0.50			4			16			8			2			12			6			0.50			
123			13			0			0.40			0.67			6			15			9			1			13			5			0.38			
124			14			0			0.40			0.55			6			15			11			2			14			10			0.71			
125			14			0			0.26			0.50			5			19			10			3			14			8			0.57			
126			13			0			0.21			0.38			3			14			8			2			13			10			0.77			
127			19			0			0.42			0.53			8			19			15			6			19			17			0.89			
128			13			0			0.47			0.70			7			15			10			3			13			9			0.69			
129			17			0			0.31			0.38			5			16			13			6			17			14			0.82			
130			17			0			0.18			0.23			3			17			13			8			17			12			0.71			
131			17			0			0.53			0.62			8			15			13			4			17			10			0.59			
132			13			0			0.23			0.38			3			13			8			2			13			10			0.77			
133			16			0			0.32			0.55			6			19			11			4			16			10			0.62			
134			16			0			0.67			1.00			10			15			10			0			16			13			0.81			
135			14			0			0.27			0.44			4			15			9			4			14			8			0.57			
136			11			0			0.50			0.75			6			12			8			0			11			7			0.64			
137			15			0			0.25			0.42			5			20			12			6			15			8			0.53			
138			16			0			0.44			0.58			7			16			12			4			16			16			1.00			
139			17			0			0.64			0.64			9			14			14			5			17			12			0.71			
140			13			0			0.33			0.62			5			15			8			1			13			8			0.62			
141			17			0			0.12			0.15			2			17			13			6			17			10			0.59			
142			15			0			0.44			0.64			7			16			11			1			15			11			0.73			
143			17			0			0.17			0.25			3			18			12			5			17			10			0.59			
144			19			0			0.37			0.58			7			19			12			3			19			15			0.79			
145			12			0			0.46			0.75			6			13			8			0			12			10			0.83			
146			17			0			0.39			0.75			9			23			12			2			17			16			0.94			
147			15			0			0.19			0.23			3			16			13			9			15			9			0.60			
148			13			0			0.40			0.67			6			15			9			1			13			11			0.85			
149			16			0			0.62			0.83			10			16			12			0			16			13			0.81			
150			15			0			0.33			0.56			5			15			9			0			15			15			1.00			
151			12			0			0.64			1.00			7			11			7			0			12			8			0.67			

Number of sentence:	152.00
Number of Error sentence:	0.00
Number of Skip  sentence:	0.00
Number of Valid sentence:	152.00
Bracketing Recall:	36.05
Bracketing Precision:	55.76
Bracketing FMeasure:	43.79
Complete match:	0.00
Average crossing:	2.95
No crossing:	16.45
Tagging accuracy:	71.43


ParserWithoutPrecolation_11-20
=================================================================================================================================================
 ID 	 length 	 state 	 recall 	 prec 	 matched_brackets 	 gold_brackets 	 test_brackets 	 cross_brackets 	 words 	 correct_tags 	 tag_accracy 	
0			20			0			0.62			0.75			15			24			20			2			20			18			0.90			
1			19			0			0.90			1.00			19			21			19			0			19			19			1.00			
2			17			0			0.19			0.29			4			21			14			4			17			8			0.47			
3			17			0			0.64			0.56			9			14			16			3			17			13			0.76			
4			18			0			0.43			0.56			9			21			16			6			18			13			0.72			
5			16			0			0.53			0.57			8			15			14			1			16			11			0.69			
6			19			0			0.74			0.82			14			19			17			0			19			18			0.95			
7			11			0			1.00			1.00			12			12			12			0			11			11			1.00			
8			18			0			0.64			0.74			14			22			19			5			18			16			0.89			
9			15			0			0.27			0.31			4			15			13			5			15			13			0.87			
10			16			0			0.62			0.67			10			16			15			1			16			15			0.94			
11			20			0			0.53			0.60			9			17			15			2			20			18			0.90			
12			17			0			0.48			0.61			11			23			18			5			17			14			0.82			
13			18			0			0.28			0.35			7			25			20			7			18			12			0.67			
14			17			0			0.56			0.56			10			18			18			5			17			16			0.94			
15			15			0			0.85			0.85			11			13			13			1			15			15			1.00			
16			17			0			0.83			0.88			15			18			17			1			17			17			1.00			
17			20			0			0.70			0.73			16			23			22			1			20			18			0.90			
18			17			0			0.78			0.88			14			18			16			1			17			17			1.00			
19			20			0			0.61			0.70			14			23			20			2			20			18			0.90			
20			11			0			0.70			0.58			7			10			12			1			11			9			0.82			
21			17			0			0.33			0.33			7			21			21			10			17			12			0.71			
22			15			0			0.65			0.79			11			17			14			3			15			14			0.93			
23			13			0			0.91			0.83			10			11			12			1			13			13			1.00			
24			17			0			0.71			0.80			12			17			15			3			17			17			1.00			
25			17			0			0.53			0.67			10			19			15			5			17			15			0.88			
26			20			0			0.70			0.67			14			20			21			3			20			17			0.85			
27			15			0			0.65			0.79			11			17			14			0			15			14			0.93			
28			15			0			0.80			0.92			12			15			13			1			15			15			1.00			
29			19			0			0.38			0.42			8			21			19			5			19			11			0.58			
30			18			0			0.57			0.71			12			21			17			1			18			15			0.83			
31			16			0			0.74			0.78			14			19			18			0			16			13			0.81			
32			17			0			0.65			0.76			13			20			17			2			17			15			0.88			
33			16			0			0.53			0.64			9			17			14			2			16			12			0.75			
34			17			0			0.44			0.39			7			16			18			8			17			13			0.76			
35			12			0			1.00			1.00			12			12			12			0			12			12			1.00			
36			18			0			0.78			0.74			14			18			19			2			18			18			1.00			
37			12			0			0.85			0.92			11			13			12			1			12			12			1.00			
38			14			0			0.64			0.64			9			14			14			2			14			14			1.00			
39			16			0			0.82			0.93			14			17			15			1			16			16			1.00			
40			19			0			0.88			0.79			15			17			19			1			19			18			0.95			
41			12			0			0.54			0.70			7			13			10			1			12			10			0.83			
42			16			0			0.65			0.73			11			17			15			1			16			16			1.00			
43			11			0			0.85			0.73			11			13			15			0			11			9			0.82			
44			16			0			0.69			0.65			11			16			17			5			16			14			0.88			
45			15			0			0.53			0.57			8			15			14			3			15			12			0.80			
46			16			0			0.43			0.50			10			23			20			4			16			13			0.81			
47			19			0			0.50			0.59			10			20			17			4			19			16			0.84			
48			19			0			0.52			0.52			12			23			23			8			19			17			0.89			
49			13			0			0.44			0.47			8			18			17			5			13			7			0.54			
50			20			0			0.50			0.48			10			20			21			5			20			19			0.95			
51			20			0			0.82			0.82			18			22			22			1			20			19			0.95			
52			17			0			0.47			0.57			8			17			14			3			17			14			0.82			
53			11			0			1.00			1.00			13			13			13			0			11			11			1.00			
54			19			0			0.68			0.68			13			19			19			2			19			17			0.89			
55			14			0			0.87			0.93			13			15			14			1			14			14			1.00			
56			17			0			0.63			0.80			12			19			15			2			17			14			0.82			
57			17			0			0.57			0.57			13			23			23			6			17			11			0.65			
58			19			0			0.35			0.47			8			23			17			4			19			16			0.84			
59			13			0			0.50			0.54			7			14			13			2			13			11			0.85			
60			15			0			0.83			0.94			15			18			16			1			15			14			0.93			
61			16			0			0.56			0.53			10			18			19			2			16			13			0.81			
62			14			0			0.44			0.47			7			16			15			6			14			11			0.79			
63			18			0			0.85			0.94			17			20			18			0			18			17			0.94			
64			18			0			0.52			0.73			11			21			15			4			18			12			0.67			
65			15			0			0.70			0.88			14			20			16			1			15			12			0.80			
66			15			0			0.50			0.58			7			14			12			5			15			11			0.73			
67			12			0			0.61			0.73			11			18			15			0			12			11			0.92			
68			19			0			0.52			0.65			11			21			17			5			19			17			0.89			
69			16			0			0.62			0.76			13			21			17			2			16			15			0.94			
70			14			0			0.69			0.69			9			13			13			3			14			12			0.86			
71			16			0			0.93			0.81			13			14			16			2			16			16			1.00			
72			20			0			0.71			0.75			15			21			20			2			20			17			0.85			
73			11			0			0.92			1.00			11			12			11			0			11			11			1.00			
74			14			0			0.77			0.77			10			13			13			1			14			12			0.86			
75			19			0			0.75			0.75			12			16			16			4			19			18			0.95			
76			15			0			0.38			0.40			6			16			15			3			15			13			0.87			
77			14			0			0.43			0.60			6			14			10			3			14			13			0.93			
78			14			0			0.50			0.57			8			16			14			2			14			13			0.93			
79			20			0			0.84			0.94			16			19			17			0			20			18			0.90			
80			14			0			0.72			0.76			13			18			17			2			14			12			0.86			
81			16			0			0.33			0.27			6			18			22			10			16			12			0.75			
82			14			0			0.65			0.65			11			17			17			1			14			14			1.00			
83			11			0			0.70			0.58			7			10			12			0			11			7			0.64			
84			13			0			0.75			0.75			9			12			12			0			13			12			0.92			
85			16			0			0.77			0.77			10			13			13			0			16			15			0.94			
86			19			0			0.50			0.53			9			18			17			6			19			18			0.95			
87			12			0			0.60			0.55			6			10			11			5			12			11			0.92			
88			19			0			0.75			0.79			15			20			19			1			19			18			0.95			
89			17			0			0.74			0.70			14			19			20			3			17			15			0.88			
90			14			0			0.93			0.93			13			14			14			0			14			13			0.93			
91			15			0			0.39			0.44			7			18			16			8			15			10			0.67			
92			14			0			0.77			0.59			10			13			17			4			14			12			0.86			
93			16			0			0.89			0.89			17			19			19			0			16			14			0.88			
94			17			0			0.62			0.83			10			16			12			1			17			17			1.00			
95			15			0			0.56			0.60			9			16			15			4			15			12			0.80			
96			16			0			0.88			0.88			14			16			16			1			16			16			1.00			
97			12			0			0.53			0.47			8			15			17			3			12			8			0.67			
98			18			0			0.67			0.80			12			18			15			2			18			18			1.00			
99			15			0			0.61			0.69			11			18			16			4			15			14			0.93			
100			20			0			0.58			0.58			11			19			19			6			20			19			0.95			
101			20			0			0.57			0.67			12			21			18			4			20			17			0.85			
102			15			0			0.44			0.64			7			16			11			3			15			13			0.87			
103			17			0			0.63			0.80			12			19			15			2			17			15			0.88			
104			11			0			0.75			0.82			9			12			11			1			11			10			0.91			
105			15			0			1.00			1.00			15			15			15			0			15			15			1.00			
106			17			0			1.00			1.00			17			17			17			0			17			17			1.00			
107			11			0			0.83			0.91			10			12			11			1			11			11			1.00			
108			12			0			0.67			0.77			10			15			13			2			12			9			0.75			
109			13			0			0.50			0.54			7			14			13			2			13			10			0.77			
110			13			0			0.53			0.62			8			15			13			4			13			11			0.85			
111			17			0			0.67			0.63			12			18			19			3			17			16			0.94			
112			16			0			0.61			0.69			11			18			16			3			16			13			0.81			
113			15			0			0.87			0.93			13			15			14			0			15			15			1.00			
114			17			0			0.29			0.33			5			17			15			5			17			13			0.76			
115			15			0			0.83			0.88			15			18			17			0			15			15			1.00			
116			15			0			0.53			0.62			10			19			16			4			15			15			1.00			
117			20			0			0.85			0.85			17			20			20			3			20			17			0.85			
118			14			0			0.73			0.79			11			15			14			1			14			12			0.86			
119			14			0			0.60			0.64			9			15			14			3			14			11			0.79			
120			20			0			0.74			0.85			17			23			20			2			20			18			0.90			
121			13			0			0.56			0.69			9			16			13			2			13			7			0.54			
122			12			0			0.56			0.60			9			16			15			3			12			11			0.92			
123			13			0			0.67			0.67			10			15			15			1			13			11			0.85			
124			14			0			0.47			0.58			7			15			12			2			14			11			0.79			
125			14			0			0.68			0.81			13			19			16			3			14			13			0.93			
126			13			0			0.57			0.57			8			14			14			2			13			10			0.77			
127			19			0			0.37			0.41			7			19			17			9			19			17			0.89			
128			13			0			0.60			0.75			9			15			12			3			13			10			0.77			
129			17			0			0.69			0.69			11			16			16			4			17			15			0.88			
130			17			0			0.71			0.60			12			17			20			3			17			12			0.71			
131			17			0			0.60			0.56			9			15			16			4			17			12			0.71			
132			13			0			0.77			0.71			10			13			14			0			13			13			1.00			
133			16			0			0.32			0.43			6			19			14			6			16			10			0.62			
134			16			0			1.00			1.00			15			15			15			0			16			16			1.00			
135			14			0			0.80			0.75			12			15			16			2			14			13			0.93			
136			11			0			0.58			0.64			7			12			11			0			11			8			0.73			
137			15			0			0.60			0.71			12			20			17			3			15			12			0.80			
138			16			0			0.75			0.86			12			16			14			2			16			16			1.00			
139			17			0			0.79			0.73			11			14			15			2			17			13			0.76			
140			13			0			0.47			0.54			7			15			13			3			13			10			0.77			
141			17			0			0.59			0.59			10			17			17			3			17			13			0.76			
142			15			0			0.62			0.67			10			16			15			2			15			13			0.87			
143			17			0			0.44			0.53			8			18			15			3			17			14			0.82			
144			19			0			0.74			0.78			14			19			18			1			19			19			1.00			
145			12			0			0.46			0.60			6			13			10			2			12			10			0.83			
146			17			0			0.52			0.75			12			23			16			2			17			15			0.88			
147			15			0			0.50			0.44			8			16			18			2			15			11			0.73			
148			13			0			0.93			1.00			14			15			14			0			13			12			0.92			
149			16			0			0.88			0.93			14			16			15			0			16			16			1.00			
150			15			0			0.73			0.69			11			15			16			3			15			15			1.00			
151			12			0			1.00			1.00			11			11			11			0			12			12			1.00			

Number of sentence:	152.00
Number of Error sentence:	0.00
Number of Skip  sentence:	0.00
Number of Valid sentence:	152.00
Bracketing Recall:	63.76
Bracketing Precision:	68.91
Bracketing FMeasure:	66.24
Complete match:	4.61
Average crossing:	2.52
No crossing:	17.76
Tagging accuracy:	87.03


NP1VC2HC/NP1VC2HC_11-20
=================================================================================================================================================
 ID 	 length 	 state 	 recall 	 prec 	 matched_brackets 	 gold_brackets 	 test_brackets 	 cross_brackets 	 words 	 correct_tags 	 tag_accracy 	
0			20			0			0.88			0.88			21			24			24			2			20			20			1.00			
1			19			0			1.00			1.00			21			21			21			0			19			19			1.00			
2			17			0			1.00			1.00			21			21			21			0			17			17			1.00			
3			17			0			0.86			0.80			12			14			15			1			17			16			0.94			
4			18			0			0.86			0.90			18			21			20			2			18			18			1.00			
5			16			0			1.00			0.94			15			15			16			0			16			15			0.94			
6			19			0			0.84			0.84			16			19			19			0			19			19			1.00			
7			11			0			0.83			0.83			10			12			12			1			11			11			1.00			
8			18			0			0.77			0.89			17			22			19			2			18			18			1.00			
9			15			0			1.00			1.00			15			15			15			0			15			15			1.00			
10			16			0			0.69			0.69			11			16			16			3			16			16			1.00			
11			20			0			1.00			1.00			17			17			17			0			20			20			1.00			
12			17			0			1.00			1.00			23			23			23			0			17			17			1.00			
13			18			0			0.48			0.52			12			25			23			10			18			15			0.83			
14			17			0			0.89			0.89			16			18			18			2			17			17			1.00			
15			15			0			0.92			0.92			12			13			13			1			15			15			1.00			
16			17			0			0.83			0.88			15			18			17			1			17			17			1.00			
17			20			0			0.78			0.86			18			23			21			1			20			20			1.00			
18			17			0			0.94			1.00			17			18			17			0			17			17			1.00			
19			20			0			0.87			0.87			20			23			23			1			20			20			1.00			
20			11			0			1.00			1.00			10			10			10			0			11			11			1.00			
21			17			0			0.90			0.90			19			21			21			1			17			17			1.00			
22			15			0			0.94			1.00			16			17			16			0			15			15			1.00			
23			13			0			0.82			0.69			9			11			13			0			13			13			1.00			
24			17			0			0.76			0.76			13			17			17			4			17			17			1.00			
25			17			0			0.89			0.89			17			19			19			1			17			17			1.00			
26			20			0			1.00			1.00			20			20			20			0			20			20			1.00			
