ParserWithPrecolation_21-25
=================================================================================================================================================
 ID 	 length 	 state 	 recall 	 prec 	 matched_brackets 	 gold_brackets 	 test_brackets 	 cross_brackets 	 words 	 correct_tags 	 tag_accracy 	
0			23			0			0.42			0.69			11			26			16			5			23			17			0.74			
1			22			0			0.20			0.33			5			25			15			10			22			15			0.68			
2			22			0			0.20			0.28			5			25			18			9			22			14			0.64			
3			22			0			0.43			0.53			9			21			17			6			22			19			0.86			
4			24			0			0.64			0.74			14			22			19			1			24			21			0.88			
5			21			0			0.16			0.29			4			25			14			9			21			9			0.43			
6			24			0			0.21			0.33			6			28			18			9			24			18			0.75			
7			22			0			0.52			0.75			12			23			16			4			22			19			0.86			
8			22			0			0.39			0.69			9			23			13			0			22			18			0.82			
9			25			0			0.36			0.60			9			25			15			5			25			19			0.76			
10			23			0			0.44			0.69			11			25			16			4			23			19			0.83			
11			25			0			0.21			0.38			6			28			16			7			25			15			0.60			
12			24			0			0.50			0.80			12			24			15			1			24			16			0.67			
13			22			0			0.43			0.62			10			23			16			5			22			17			0.77			
14			24			0			0.36			0.69			9			25			13			4			24			17			0.71			
15			25			0			0.46			0.63			12			26			19			7			25			20			0.80			
16			22			0			0.15			0.25			4			27			16			9			22			14			0.64			
17			23			0			0.36			0.45			9			25			20			7			23			14			0.61			
18			23			0			0.44			0.69			11			25			16			2			23			15			0.65			
19			21			0			0.27			0.46			6			22			13			5			21			13			0.62			
20			22			0			0.38			0.53			8			21			15			4			22			17			0.77			
21			23			0			0.33			0.47			8			24			17			6			23			18			0.78			
22			25			0			0.50			0.81			13			26			16			2			25			17			0.68			
23			22			0			0.52			0.85			11			21			13			1			22			20			0.91			
24			22			0			0.43			0.62			10			23			16			4			22			17			0.77			
25			25			0			0.56			0.78			14			25			18			2			25			19			0.76			
26			21			0			0.26			0.50			6			23			12			6			21			18			0.86			
27			23			0			0.71			1.00			17			24			17			0			23			18			0.78			
28			21			0			0.26			0.31			5			19			16			3			21			17			0.81			
29			24			0			0.30			0.50			8			27			16			7			24			19			0.79			
30			24			0			0.21			0.28			5			24			18			10			24			17			0.71			
31			23			0			0.24			0.55			6			25			11			4			23			14			0.61			
32			25			0			0.46			0.61			11			24			18			3			25			20			0.80			
33			23			0			0.10			0.20			3			31			15			12			23			16			0.70			
34			22			0			0.50			0.69			11			22			16			2			22			13			0.59			
35			21			0			0.25			0.38			6			24			16			7			21			11			0.52			
36			22			0			0.36			0.42			8			22			19			7			22			17			0.77			
37			25			0			0.29			0.47			8			28			17			7			25			19			0.76			
38			24			0			0.21			0.35			6			28			17			7			24			17			0.71			
39			21			0			0.35			0.57			8			23			14			5			21			17			0.81			
40			21			0			0.36			0.56			9			25			16			3			21			8			0.38			
41			23			0			0.23			0.35			6			26			17			7			23			14			0.61			
42			24			0			0.26			0.44			7			27			16			5			24			16			0.67			
43			21			0			0.57			0.86			12			21			14			2			21			17			0.81			
44			23			0			0.36			0.47			8			22			17			6			23			20			0.87			
45			25			0			0.28			0.47			7			25			15			6			25			16			0.64			
46			24			0			0.33			0.47			9			27			19			6			24			21			0.88			
47			25			0			0.50			0.63			12			24			19			5			25			23			0.92			
48			21			0			0.68			0.94			15			22			16			1			21			18			0.86			
49			22			0			0.57			0.80			12			21			15			3			22			20			0.91			
50			23			0			0.63			0.67			12			19			18			3			23			20			0.87			
51			23			0			0.17			0.33			5			30			15			10			23			17			0.74			
52			21			0			0.32			0.50			7			22			14			5			21			11			0.52			
53			22			0			0.40			0.53			8			20			15			5			22			15			0.68			
54			25			0			0.48			0.73			11			23			15			2			25			16			0.64			
55			21			0			0.42			0.44			8			19			18			7			21			15			0.71			
56			22			0			0.46			0.79			11			24			14			2			22			15			0.68			
57			23			0			0.57			0.76			13			23			17			2			23			19			0.83			
58			24			0			0.20			0.33			5			25			15			8			24			14			0.58			
59			25			0			0.26			0.44			7			27			16			5			25			15			0.60			
60			21			0			0.24			0.33			5			21			15			7			21			14			0.67			
61			25			0			0.43			0.56			10			23			18			4			25			20			0.80			
62			23			0			0.19			0.38			5			27			13			4			23			12			0.52			
63			24			0			0.39			0.65			11			28			17			2			24			17			0.71			
64			23			0			0.27			0.47			7			26			15			6			23			17			0.74			
65			21			0			0.16			0.22			4			25			18			11			21			16			0.76			
66			24			0			0.20			0.26			5			25			19			11			24			18			0.75			
67			22			0			0.45			0.83			10			22			12			1			22			17			0.77			
68			21			0			0.55			0.73			11			20			15			2			21			19			0.90			
69			22			0			0.30			0.41			7			23			17			8			22			20			0.91			
70			24			0			0.86			1.00			19			22			19			0			24			22			0.92			
71			23			0			0.27			0.50			7			26			14			2			23			19			0.83			
72			25			0			0.48			0.61			11			23			18			7			25			19			0.76			
73			23			0			0.43			0.53			9			21			17			2			23			21			0.91			
74			23			0			0.35			0.57			8			23			14			2			23			18			0.78			
75			22			0			0.39			0.65			11			28			17			3			22			20			0.91			
76			21			0			0.37			0.50			7			19			14			4			21			16			0.76			
77			25			0			0.44			0.58			11			25			19			6			25			21			0.84			

Number of sentence:	78.00
Number of Error sentence:	0.00
Number of Skip  sentence:	0.00
Number of Valid sentence:	78.00
Bracketing Recall:	36.67
Bracketing Precision:	55.04
Bracketing FMeasure:	44.02
Complete match:	0.00
Average crossing:	4.91
No crossing:	3.85
Tagging accuracy:	74.20


ParserWithoutPrecolation_21-25
=================================================================================================================================================
 ID 	 length 	 state 	 recall 	 prec 	 matched_brackets 	 gold_brackets 	 test_brackets 	 cross_brackets 	 words 	 correct_tags 	 tag_accracy 	
0			23			0			0.58			0.68			15			26			22			6			23			22			0.96			
1			22			0			0.40			0.37			10			25			27			10			22			18			0.82			
2			22			0			0.40			0.40			10			25			25			12			22			17			0.77			
3			22			0			0.57			0.60			12			21			20			5			22			19			0.86			
4			24			0			0.55			0.55			12			22			22			5			24			20			0.83			
5			21			0			0.44			0.46			11			25			24			9			21			16			0.76			
6			24			0			0.71			0.77			20			28			26			6			24			23			0.96			
7			22			0			0.83			0.86			19			23			22			2			22			21			0.95			
8			22			0			0.48			0.48			11			23			23			5			22			20			0.91			
9			25			0			0.56			0.64			14			25			22			7			25			22			0.88			
10			23			0			0.60			0.65			15			25			23			6			23			22			0.96			
11			25			0			0.43			0.48			12			28			25			2			25			19			0.76			
12			24			0			0.79			0.79			19			24			24			3			24			22			0.92			
13			22			0			0.57			0.65			13			23			20			5			22			21			0.95			
14			24			0			0.76			0.90			19			25			21			2			24			22			0.92			
15			25			0			0.65			0.71			17			26			24			6			25			25			1.00			
16			22			0			0.70			0.83			19			27			23			1			22			19			0.86			
17			23			0			0.52			0.57			13			25			23			6			23			18			0.78			
18			23			0			0.64			0.67			16			25			24			5			23			20			0.87			
19			21			0			0.59			0.68			13			22			19			4			21			18			0.86			
20			22			0			0.76			0.73			16			21			22			2			22			20			0.91			
21			23			0			0.75			0.72			18			24			25			5			23			20			0.87			
22			25			0			0.58			0.62			15			26			24			7			25			20			0.80			
23			22			0			0.67			0.70			14			21			20			3			22			20			0.91			
24			22			0			0.65			0.75			15			23			20			5			22			22			1.00			
25			25			0			0.92			0.96			23			25			24			0			25			24			0.96			
26			21			0			0.61			0.78			14			23			18			3			21			21			1.00			
27			23			0			0.92			1.00			22			24			22			0			23			23			1.00			
28			21			0			0.42			0.36			8			19			22			10			21			18			0.86			
29			24			0			0.48			0.59			13			27			22			7			24			22			0.92			
30			24			0			0.42			0.37			10			24			27			10			24			20			0.83			
31			23			0			0.52			0.65			13			25			20			3			23			16			0.70			
32			25			0			0.62			0.56			15			24			27			2			25			23			0.92			
33			23			0			0.32			0.43			10			31			23			11			23			17			0.74			
34			22			0			0.64			0.67			14			22			21			3			22			17			0.77			
35			21			0			0.50			0.50			12			24			24			7			21			15			0.71			
36			22			0			0.68			0.65			15			22			23			3			22			18			0.82			
37			25			0			0.43			0.52			12			28			23			9			25			22			0.88			
38			24			0			0.39			0.41			11			28			27			10			24			17			0.71			
39			21			0			0.65			0.65			15			23			23			4			21			19			0.90			
40			21			0			0.80			0.83			20			25			24			0			21			16			0.76			
41			23			0			0.38			0.38			10			26			26			10			23			21			0.91			
42			24			0			0.30			0.40			8			27			20			5			24			17			0.71			
43			21			0			0.62			0.72			13			21			18			4			21			19			0.90			
44			23			0			0.59			0.54			13			22			24			5			23			21			0.91			
45			25			0			0.32			0.36			8			25			22			8			25			18			0.72			
46			24			0			0.59			0.64			16			27			25			3			24			23			0.96			
47			25			0			0.58			0.64			14			24			22			5			25			23			0.92			
48			21			0			0.82			0.90			18			22			20			1			21			20			0.95			
49			22			0			0.76			0.89			16			21			18			1			22			21			0.95			
50			23			0			0.74			0.70			14			19			20			3			23			21			0.91			
51			23			0			0.57			0.63			17			30			27			7			23			21			0.91			
52			21			0			0.45			0.50			10			22			20			9			21			15			0.71			
53			22			0			0.60			0.55			12			20			22			3			22			17			0.77			
